COD_VAR;LIB_VAR;LIB_VAR_LONG;COD_MOD;LIB_MOD;TYPE_VAR;LONG_VAR
CODGEO;Code géographique;Code géographique;2107;Vitry-le-François - Saint-Dizier;CHAR;4
CODGEO;Code géographique;Code géographique;2201;Château-Thierry;CHAR;4
CODGEO;Code géographique;Code géographique;2202;Tergnier;CHAR;4
CODGEO;Code géographique;Code géographique;2203;La Thiérache;CHAR;4
CODGEO;Code géographique;Code géographique;2204;Laon;CHAR;4
CODGEO;Code géographique;Code géographique;2205;Saint-Quentin;CHAR;4
CODGEO;Code géographique;Code géographique;2206;Soissons;CHAR;4
CODGEO;Code géographique;Code géographique;2207;Beauvais;CHAR;4
CODGEO;Code géographique;Code géographique;2208;Compiègne;CHAR;4
CODGEO;Code géographique;Code géographique;2209;Abbeville;CHAR;4
CODGEO;Code géographique;Code géographique;2210;Amiens;CHAR;4
CODGEO;Code géographique;Code géographique;2211;Péronne;CHAR;4
CODGEO;Code géographique;Code géographique;2301;Bernay;CHAR;4
CODGEO;Code géographique;Code géographique;2302;Évreux;CHAR;4
CODGEO;Code géographique;Code géographique;2303;Pont-Audemer;CHAR;4
CODGEO;Code géographique;Code géographique;2304;Vernon - Gisors;CHAR;4
CODGEO;Code géographique;Code géographique;2305;Dieppe - Caux maritime;CHAR;4
CODGEO;Code géographique;Code géographique;2306;Le Havre;CHAR;4
CODGEO;Code géographique;Code géographique;2307;Rouen;CHAR;4
CODGEO;Code géographique;Code géographique;2401;Bourges;CHAR;4
CODGEO;Code géographique;Code géographique;2402;Saint-Amand-Montrond;CHAR;4
CODGEO;Code géographique;Code géographique;2403;Vierzon;CHAR;4
CODGEO;Code géographique;Code géographique;2404;Chartres;CHAR;4
CODGEO;Code géographique;Code géographique;2405;Châteaudun;CHAR;4
CODGEO;Code géographique;Code géographique;2406;Dreux;CHAR;4
CODGEO;Code géographique;Code géographique;2407;Le Blanc;CHAR;4
CODGEO;Code géographique;Code géographique;2408;Issoudun;CHAR;4
CODGEO;Code géographique;Code géographique;2409;Châteauroux;CHAR;4
CODGEO;Code géographique;Code géographique;2410;Chinon;CHAR;4
CODGEO;Code géographique;Code géographique;2411;Loches;CHAR;4
CODGEO;Code géographique;Code géographique;2412;Tours;CHAR;4
CODGEO;Code géographique;Code géographique;2413;Blois;CHAR;4
CODGEO;Code géographique;Code géographique;2414;Romorantin-Lanthenay;CHAR;4
CODGEO;Code géographique;Code géographique;2415;Vendôme;CHAR;4
CODGEO;Code géographique;Code géographique;2416;Gien;CHAR;4
CODGEO;Code géographique;Code géographique;2417;Montargis;CHAR;4
CODGEO;Code géographique;Code géographique;2418;Orléans;CHAR;4
CODGEO;Code géographique;Code géographique;2419;Pithiviers;CHAR;4
CODGEO;Code géographique;Code géographique;2501;Bayeux;CHAR;4
CODGEO;Code géographique;Code géographique;2502;Caen;CHAR;4
CODGEO;Code géographique;Code géographique;2503;Honfleur;CHAR;4
CODGEO;Code géographique;Code géographique;2504;Lisieux;CHAR;4
CODGEO;Code géographique;Code géographique;2505;Vire Normandie;CHAR;4
CODGEO;Code géographique;Code géographique;2506;Avranches;CHAR;4
CODGEO;Code géographique;Code géographique;2507;Cherbourg-en-Cotentin;CHAR;4
CODGEO;Code géographique;Code géographique;2508;Coutances;CHAR;4
CODGEO;Code géographique;Code géographique;2509;Granville;CHAR;4
CODGEO;Code géographique;Code géographique;2510;Saint-Lô;CHAR;4
CODGEO;Code géographique;Code géographique;2511;Argentan;CHAR;4
CODGEO;Code géographique;Code géographique;2512;Flers;CHAR;4
CODGEO;Code géographique;Code géographique;2513;L'Aigle;CHAR;4
CODGEO;Code géographique;Code géographique;2601;Beaune;CHAR;4
CODGEO;Code géographique;Code géographique;2602;Chatillon;CHAR;4
CODGEO;Code géographique;Code géographique;2603;Dijon;CHAR;4
CODGEO;Code géographique;Code géographique;2604;Montbard;CHAR;4
CODGEO;Code géographique;Code géographique;2605;Le Morvan;CHAR;4
CODGEO;Code géographique;Code géographique;2606;Nevers;CHAR;4
CODGEO;Code géographique;Code géographique;2607;Autun;CHAR;4
CODGEO;Code géographique;Code géographique;2608;Chalon-sur-Saône;CHAR;4
CODGEO;Code géographique;Code géographique;2609;Louhans;CHAR;4
CODGEO;Code géographique;Code géographique;2610;Le Creusot - Montceau;CHAR;4
