CODGEO;NBMENFISC17;NBPERSMENFISC17;MED17;PIMP17;TP6017;TP60AGE117;TP60AGE217;TP60AGE317;TP60AGE417;TP60AGE517;TP60AGE617;TP60TOL117;TP60TOL217;PACT17;PTSA17;PCHO17;PBEN17;PPEN17;PPAT17;PPSOC17;PPFAM17;PPMINI17;PPLOGT17;PIMPOT17;D117;D917;RD17
01076;75;142;20730;;;;;;;;;;;;;;;;;;;;;;;;
01077;91;183;22110;;;;;;;;;;;;;;;;;;;;;;;;
01078;505;1260;40730;;;;;;;;;;;;;;;;;;;;;;;;
01079;308;711;20990;;;;;;;;;;;;;;;;;;;;;;;;
01080;275;639;21300;;;;;;;;;;;;;;;;;;;;;;;;
01081;316;699;23620;;;;;;;;;;;;;;;;;;;;;;;;
01082;216;528;24850;;;;;;;;;;;;;;;;;;;;;;;;
01083;341;920;23720;;;;;;;;;;;;;;;;;;;;;;;;
01084;323;871;22180;;;;;;;;;;;;;;;;;;;;;;;;
01085;144;389;22610;;;;;;;;;;;;;;;;;;;;;;;;
01087;119;293;23460;;;;;;;;;;;;;;;;;;;;;;;;
01088;353;928;26450;;;;;;;;;;;;;;;;;;;;;;;;
01089;837;2271;22250;56;;;;;;;;;;81.6;75.2;2.7;3.7;21.5;6.4;4.8;3.1;0.9;0.8;-14.3;13940;34120;2.4
01090;147;348;22550;;;;;;;;;;;;;;;;;;;;;;;;
01092;629;1636;22990;;;;;;;;;;;;;;;;;;;;;;;;
01093;2153;4608;21600;51;9;;;;;;;;15;66;59.4;2.6;4;33.9;10.7;4.7;2;1.5;1.2;-15.3;13030;36350;2.8
01094;314;764;21230;;;;;;;;;;;;;;;;;;;;;;;;
01095;326;777;20680;;;;;;;;;;;;;;;;;;;;;;;;
01096;388;1018;22310;;;;;;;;;;;;;;;;;;;;;;;;
01098;446;1125;20940;;;;;;;;;;;;;;;;;;;;;;;;
01099;650;1583;24350;;;;;;;;;;;;;;;;;;;;;;;;
01100;73;140;20450;;;;;;;;;;;;;;;;;;;;;;;;
01101;63;154;24100;;;;;;;;;;;;;;;;;;;;;;;;
01102;365;953;21900;;;;;;;;;;;;;;;;;;;;;;;;
01103;651;1644;37620;;;;;;;;;;;;;;;;;;;;;;;;
01104;185;426;25050;;;;;;;;;;;;;;;;;;;;;;;;
01105;643;1766;26440;;;;;;;;;;;;;;;;;;;;;;;;
01106;73;174;20920;;;;;;;;;;;;;;;;;;;;;;;;
01107;60;127;22350;;;;;;;;;;;;;;;;;;;;;;;;
01108;515;1091;20710;;;;;;;;;;;;;;;;;;;;;;;;
01109;762;1965;30440;42;;;;;;;;;;;;;;;;;;;;;;;
01110;66;146;20870;;;;;;;;;;;;;;;;;;;;;;;;
01111;52;116;20320;;;;;;;;;;;;;;;;;;;;;;;;
01112;170;468;22570;;;;;;;;;;;;;;;;;;;;;;;;
01113;333;826;21050;;;;;;;;;;;;;;;;;;;;;;;;
01114;218;561;28150;;;;;;;;;;;;;;;;;;;;;;;;
01115;542;1349;21370;;;;;;;;;;;;;;;;;;;;;;;;
01116;209;484;21560;;;;;;;;;;;;;;;;;;;;;;;;
01117;58;156;19840;;;;;;;;;;;;;;;;;;;;;;;;
01118;443;1028;24020;;;;;;;;;;;;;;;;;;;;;;;;
01121;42;105;21710;;;;;;;;;;;;;;;;;;;;;;;;
01123;432;1173;23600;;;;;;;;;;;;;;;;;;;;;;;;
01124;296;676;20980;;;;;;;;;;;;;;;;;;;;;;;;
01125;259;619;22390;;;;;;;;;;;;;;;;;;;;;;;;
01127;213;489;23020;;;;;;;;;;;;;;;;;;;;;;;;
01128;126;307;20130;;;;;;;;;;;;;;;;;;;;;;;;
01129;111;282;23390;;;;;;;;;;;;;;;;;;;;;;;;
01130;877;2338;21940;57;;;;;;;;;;78.9;70.4;2.4;6.1;23.2;8.6;3.8;2.7;0.6;0.5;-14.5;14820;33730;2.3
01133;167;421;23370;;;;;;;;;;;;;;;;;;;;;;;;
01134;712;1789;22430;;;;;;;;;;;;;;;;;;;;;;;;
01135;703;1904;36680;52;;;;;;;;;;;;;;;;;;;;;;;
01136;341;924;22420;;;;;;;;;;;;;;;;;;;;;;;;
01138;1222;2771;19870;47;15;;;;;;;;27;67.9;60.8;4.4;2.7;32.1;6.7;6.2;2.9;1.8;1.5;-12.9;11480;31200;2.7
01139;192;439;19400;;;;;;;;;;;;;;;;;;;;;;;;
01140;297;771;23350;;;;;;;;;;;;;;;;;;;;;;;;
01141;177;429;24390;;;;;;;;;;;;;;;;;;;;;;;;
01142;1805;4755;23450;61;6;;;;;;;;;80;73.9;2.9;3.2;22.2;9.5;4;2.5;0.8;0.7;-15.7;14430;38220;2.6
01143;3809;8876;41970;67;9;;;8;14;;;7;13;96.7;90;3.1;3.6;16.2;8.9;0.7;0.2;0.3;0.2;-22.5;13300;98410;7.4
01145;480;1164;20490;;;;;;;;;;;;;;;;;;;;;;;;
01146;155;431;22410;;;;;;;;;;;;;;;;;;;;;;;;
01147;196;460;20340;;;;;;;;;;;;;;;;;;;;;;;;
01148;775;1872;21930;;;;;;;;;;;;;;;;;;;;;;;;
01149;439;1094;25630;;;;;;;;;;;;;;;;;;;;;;;;
01150;88;225;23090;;;;;;;;;;;;;;;;;;;;;;;;
01151;482;1149;22340;;;;;;;;;;;;;;;;;;;;;;;;
