CODGEO;NBMENFISC17;NBPERSMENFISC17;MED17;PIMP17;TP6017;TP60AGE117;TP60AGE217;TP60AGE317;TP60AGE417;TP60AGE517;TP60AGE617;TP60TOL117;TP60TOL217;PACT17;PTSA17;PCHO17;PBEN17;PPEN17;PPAT17;PPSOC17;PPFAM17;PPMINI17;PPLOGT17;PIMPOT17;D117;D917;RD17
301;66437;142780;18180;37.7;22.2;34.7;28.5;28.1;24.2;14.8;12.2;12;38.5;56.9;47.3;3.9;5.7;38.9;9.6;8.4;2.4;3.8;2.2;-13.8;9710;31550;3.2
302;237532;546726;19940;46.3;18.4;27.5;21.6;21.2;18.2;14.4;11.3;8.5;34.3;67.9;58.2;3.6;6.1;31.2;10;6.9;2.4;2.7;1.8;-16;10270;35370;3.4
303;17412;37133;18310;36.7;21.5;31.2;26.2;26.3;24.4;14.9;13.8;14.3;37.9;58;46.9;4.2;6.9;38.1;9.9;7.2;2.2;3.2;1.8;-13.2;9640;31340;3.2
311;90387;223930;22110;53;10.4;16.2;11.2;11.3;10;7.1;10.3;5.6;22.1;77.6;70;3.2;4.4;24.7;8.4;5.1;2.3;1.7;1.1;-15.8;12530;36110;2.9
312;35384;73706;19600;43.3;17.1;27.3;23.2;20.7;17.2;11.6;13.6;10.8;33;57.6;48.7;3;5.9;40.6;9.6;6;1.9;2.7;1.4;-13.8;10600;32820;3.1
313;452277;997304;22910;57;13.2;24.7;13.6;14;11.9;8.6;8.6;5;24.9;81.3;72.4;3.2;5.7;22.2;9.7;5.5;1.9;2;1.6;-18.7;11540;41550;3.6
321;35861;78800;21250;49.1;12.6;21.9;13.4;13.3;13.4;8.6;12.2;7;25.5;69.1;59.9;2.7;6.5;31.5;9.8;5.1;1.9;2;1.2;-15.5;11780;35990;3.1
322;30141;64738;19380;41.2;16.5;23.7;18.6;18.7;17.1;12;16.5;11.3;29.7;59.8;48.2;3.1;8.5;37;11.9;5.3;1.8;2.2;1.3;-14;10900;33210;3
323;18686;40387;19360;40.6;16.3;27.1;17.5;19;17.2;11.9;15.9;12.2;29.5;57.4;46.6;2.7;8.1;39.2;11.3;5.3;1.7;2.4;1.2;-13.2;10760;32220;3
331;37407;90285;19910;43;14.1;19.7;14.4;14.2;14.1;11;15.3;9.5;25.1;73.2;64.5;3.8;4.9;26.9;6.9;6.3;2.6;2.3;1.4;-13.3;11510;32250;2.8
332;418582;925068;22510;56.7;12.5;23.6;13.9;13.3;11.8;7.8;7;5;22.9;78.8;69.4;3.4;6;25.3;9.3;5.1;1.7;2;1.4;-18.5;11770;40270;3.4
333;56069;130841;19810;43;14.4;21.5;15.7;16.1;14.4;10;13.5;8.8;26.6;68.5;58.4;3.6;6.5;30.1;9.3;6;2.3;2.3;1.4;-13.9;11340;32630;2.9
334;39873;92470;20760;48;12.5;19.7;13.2;14;13.6;8.5;10.8;7.9;24.7;68.1;58.5;3.7;5.9;33;8.8;4.9;2.1;1.8;1;-14.8;11810;33780;2.9
335;65462;152123;19950;44.5;15.2;25.3;16.8;17.7;15.4;10;11.3;8.7;27.9;68.9;58.6;3.6;6.7;30;9.5;6.2;2.3;2.4;1.5;-14.6;11040;33470;3
336;73140;161663;22860;57.3;8.9;13.5;9.9;11;10.1;5.6;6.3;5.1;17;65.1;55.4;3.3;6.4;37.9;11.7;3.3;1.4;1.2;0.7;-18;13100;39480;3
341;144793;313746;18310;39.2;22.7;35.2;28.7;27.5;24.2;15.1;14;12.3;39.1;58.3;47.1;4;7.2;37.6;10.4;8.2;2.5;3.5;2.2;-14.5;9580;32180;3.4
342;58409;140997;21160;47.9;14.3;25.6;15.9;15.6;15.2;10.2;11;8.7;28.4;71.2;59.8;3.6;7.8;29.9;10.2;5.4;2.2;1.9;1.3;-16.7;11250;38090;3.4
343;297676;645734;20370;49.5;18.4;29.1;20.4;21.3;18.7;13;10.2;7.7;30.8;71.2;60.6;3.9;6.7;29.5;10.3;6.7;2.1;2.7;1.9;-17.7;10220;37670;3.7
351;75771;183516;20360;44.6;9.6;14.9;9.5;10.4;9.6;6.3;9.1;5.4;21;74.1;65.8;2.7;5.6;25.9;8.4;5.4;2.8;1.5;1.1;-13.8;12820;31690;2.5
352;41529;102076;20580;45.1;9.9;15.1;10.3;10.5;9.4;6.7;11.2;6.4;23.1;76;68.1;3.1;4.8;25;7.3;5.6;2.9;1.6;1.1;-13.9;12690;31810;2.5
353;246596;565232;22300;55.1;11;23.3;12.7;11.4;9.2;5.8;5.6;5;25.1;79.3;71.3;2.9;5.1;24.3;8.5;5.4;2.2;1.8;1.4;-17.5;12280;38050;3.1
354;76944;167165;21030;49.3;10.4;15.9;11.9;12.2;11.5;6.8;7.4;5.9;20.9;63.9;54.5;3;6.4;36.2;11.2;4.7;2;1.6;1.1;-16;12540;36680;2.9
361;14356;29238;18670;38;16.4;22.5;18.6;20.3;19.4;11.3;13.2;12.2;28.6;54.4;44.8;2.7;6.9;43.5;8.8;5.8;1.9;2.6;1.3;-12.5;10920;30380;2.8
362;58923;123260;19860;45.5;14.2;26.3;17.9;17.3;14.1;8.8;8.6;6.8;29.7;63.1;55.5;2.9;4.7;36.9;8.5;5.9;2;2.4;1.5;-14.4;11400;32380;2.8
363;13314;27061;19120;40;16;24.8;16.8;18.3;18.3;10.9;16;12.3;29.3;56.5;47;2.9;6.6;41.8;9.5;5;1.7;2.2;1.1;-12.8;10990;30690;2.8
364;15388;32556;19930;45.8;13;22;16.1;15.6;12.9;8.2;9.2;7.4;28.1;64.1;56.3;2.8;5;35.6;8.8;5.4;2;2.1;1.3;-13.9;11690;31570;2.7
371;44585;102948;20450;46.3;11.7;18.3;13.3;12.3;12.4;7.7;10.4;7.2;25.3;68.9;60.5;3;5.4;32.5;7.7;5.1;2.3;1.7;1.1;-14.2;12130;33180;2.7
372;171475;373986;21490;53.1;13.6;25.6;16.3;15.7;12.7;7.9;6.3;5;27.6;72.2;64.6;3;4.6;30.3;8.9;5.6;2;2.1;1.5;-17;11440;37720;3.3
373;51530;116310;20610;47.1;11.3;18.1;12.8;12.8;12.2;7.5;8.4;6.5;24.8;66.7;58.8;3;4.9;33.7;9.2;4.9;2.1;1.7;1.1;-14.5;12240;33570;2.7
381;313058;712911;22660;56.9;11.4;21.4;13.2;12.9;10.9;7.1;6.8;5;24.1;74.6;67.1;2.9;4.6;27.4;10.5;4.8;2;1.6;1.2;-17.3;12140;39720;3.3
382;119427;303746;21740;52.4;10.7;16;12.8;12;10.2;6.6;6.8;5;24.1;77.2;70;3.3;3.9;24.5;7.9;5.3;2.7;1.4;1.2;-14.9;12430;35550;2.9
383;86385;213082;21850;52.6;11.4;16.7;13.8;13;10.2;7.9;8.1;5.8;25.2;73.6;66.3;3;4.3;27.4;9.1;5.1;2.5;1.5;1.1;-15.2;12180;35890;2.9
391;46566;104059;20600;48;12.2;19.2;14.7;14.3;12.7;7.6;8.3;6.3;26.4;67.1;59.5;2.7;4.9;33.9;8.1;5.4;2.3;1.9;1.2;-14.5;11970;33580;2.8
392;47133;101846;20910;49.5;11.9;18;15.1;13.3;11.1;8.3;9.6;6.8;24.7;67.6;59.2;2.8;5.6;34.1;8.5;4.7;2;1.6;1.1;-14.9;12090;34620;2.9
393;21260;48867;22650;57.2;11.1;14.1;12.8;12.5;11.2;8.1;7.6;5.7;22.4;80.4;73.3;3.7;3.4;25.6;6.9;3.8;1.7;1.2;0.9;-16.7;12290;41570;3.4
401;102026;227299;21010;49.5;11.4;17.8;12.7;13.7;12;7.6;8.8;6.8;22;65;55.1;3.6;6.3;35.6;10.2;4.6;1.8;1.7;1.1;-15.4;12200;34940;2.9
402;80517;178664;20540;48;12.1;18.3;14.7;14.5;12.5;7.6;9.4;6.5;24.2;64.2;55.3;3.2;5.7;36.4;9.1;5.1;2;1.9;1.2;-14.8;12020;33530;2.8
411;65171;149509;21240;53.5;12.9;21.7;16.6;16.1;12.3;7.4;6.3;5;29.6;69.5;61.9;2.9;4.7;32.1;8.6;5.5;2.3;1.9;1.3;-15.7;11610;35510;3.1
412;30933;67651;20560;48.5;11.8;17.6;15.5;15;12.8;7;6.4;6.6;25.9;64.6;56.1;2.9;5.6;35.6;9.7;4.8;2;1.7;1.1;-14.7;12100;33520;2.8
413;49848;108967;20170;46.3;12.9;19.5;17.2;16.1;13.5;8.1;7.8;7.4;28.3;61.9;54.1;3;4.8;38.3;8.7;5.2;2.1;1.9;1.2;-14.1;11700;32760;2.8
421;75953;180592;21460;49.1;9.1;13.8;10;10.2;9.3;5.9;7.9;5.6;20.4;71.3;63.1;2.6;5.6;29.2;10.3;4.5;2.3;1.3;0.9;-15.3;12980;35030;2.7
