CODGEO;NBMENFISC17;NBPERSMENFISC17;MED17;PIMP17;TP6017;TP60AGE117;TP60AGE217;TP60AGE317;TP60AGE417;TP60AGE517;TP60AGE617;TP60TOL117;TP60TOL217;PACT17;PTSA17;PCHO17;PBEN17;PPEN17;PPAT17;PPSOC17;PPFAM17;PPMINI17;PPLOGT17;PIMPOT17;D117;D917;RD17
9302;37640;81666;20140;46.9;16.6;25.7;20.1;20.6;17;11.9;10.2;8.7;29.1;61.4;51;3.5;6.9;35.3;13.5;5.4;1.9;2.1;1.4;-15.6;10760;35870;3.3
9303;16051;33983;20160;49.9;13.3;21;15.9;16;13.7;8.8;8.4;8.3;21.5;67.1;54;4.3;8.8;32.6;11.6;4.3;1.8;1.4;1.1;-15.6;11580;34150;2.9
9304;48501;103117;20400;47.9;14;19.6;16.6;16.9;15.3;9.4;9.8;7.9;24.6;63.2;52.4;3.4;7.4;35.5;11.1;5.1;2;1.8;1.3;-14.9;11430;34460;3
9305;196538;421008;21970;56.2;14.2;18.3;16.1;15.9;15.1;11.6;9.9;7.8;23;69.9;60.2;3.5;6.2;30.8;14.9;4.1;1.5;1.6;1;-19.7;11230;41630;3.7
9306;40917;86559;21940;58.6;14.4;18.1;16.2;16.3;13.9;12.3;11.1;8.7;21.4;77.2;69;3.1;5.1;28.5;11;2.8;0.8;1.3;0.7;-19.5;10980;40260;3.7
9307;294877;631021;21280;54.4;16.4;24.6;19;18.7;16.6;13.1;11.3;8.1;26.9;71.8;61.4;3.4;7;29.6;12.7;5.1;1.6;2.2;1.3;-19.2;10540;40010;3.8
9308;172501;397143;23290;57.9;11.6;19.7;12.7;12.6;12;8.9;8.2;5.7;21.1;74.7;65.6;3.3;5.8;28;12.6;3.9;1.6;1.4;0.9;-19.2;12060;42890;3.6
9309;36217;82015;19560;45.4;19.2;26.3;22.2;22.8;20.3;14.5;12.2;8.1;32.4;66.8;56.4;3.9;6.5;31.3;11.5;6.8;2.3;2.6;1.9;-16.4;10300;34830;3.4
9310;561939;1288667;20260;50.9;20.4;29.6;23.9;24;21.4;14.2;11.3;7;34.9;72.9;62.5;3.9;6.5;28.2;9.9;7.3;2.3;3;2;-18.3;9780;38070;3.9
9311;59533;137750;20890;51.6;14.8;23.1;18.1;17.4;13.6;10.1;9.9;5;26.2;72.4;64.7;3.8;3.9;29.3;7.2;6.5;2.3;2.4;1.8;-15.4;11220;35400;3.2
9312;53186;126099;21400;51.8;13.6;19.3;15;14.5;13.5;11.4;9.7;5;25.1;75.6;67.1;3.8;4.7;26.7;8.6;5.6;2.3;1.9;1.4;-16.5;11520;37020;3.2
9313;52917;119216;20090;47.3;17.5;26.6;21.6;21.3;18.6;12;10.3;9.2;31.3;61.9;51.9;3.5;6.5;37.3;10.9;5.8;2.1;2.3;1.4;-15.9;10380;34500;3.3
9314;88080;185626;21280;55.1;15.1;19.8;18.7;19.8;17.4;11.5;8.1;8.5;25.1;58.4;47.5;3.6;7.3;40.4;17;3.9;1.4;1.6;0.9;-19.7;10940;40190;3.7
9315;287311;618962;20950;51.3;15.6;23.9;19.3;18.8;16.2;11.8;8.9;6.9;27.8;63.5;53.9;3.3;6.3;36.5;11.6;5.7;1.8;2.4;1.5;-17.3;10840;37080;3.4
9316;33895;76416;19160;44.8;20;27.2;24.2;24;19.7;16.7;11.8;10.7;32.8;62.6;51.4;4;7.2;34.1;13.7;5.9;2.2;2.2;1.5;-16.3;10090;35470;3.5
9317;40609;95989;19390;44.7;18.6;24.4;21.4;22.6;17.1;15.8;11;9.2;32.7;67.5;57.9;3.7;5.9;30.7;9.6;6.9;2.7;2.4;1.8;-14.7;10350;33240;3.2
9401;41111;86213;21530;53.8;14.6;20.6;15.5;15.4;14;12.8;15.1;8.6;23;70.4;60.6;2.6;7.2;32.2;11;4.8;1.3;2.4;1.1;-18.4;11180;39000;3.5
9402;11541;26163;19120;47.5;21.2;21;22.2;23.8;22.1;18.8;18.1;12.3;30.9;67.6;53.7;3.9;10;30.2;14.9;5.3;1.9;2.2;1.2;-18;9760;35970;3.7
9403;4248;8927;19550;44.5;21.4;;24;23.4;24;16.1;21.6;13.4;30.1;64.4;52;3.7;8.7;34;11;6;1.7;2.9;1.4;-15.4;9760;34140;3.5
9404;46979;98506;19460;44.5;20.2;27.7;23.7;22;19.4;16.7;19.6;12.1;31.2;68.8;57;2.8;9;31.4;9.9;6.7;1.6;3.4;1.7;-16.8;9940;35800;3.6
9405;9522;19944;18900;43.9;21.6;;21.3;24.7;23.4;19.7;17.4;14;29.9;64.4;48.5;4.1;11.8;33.6;12.9;5.4;1.6;2.4;1.4;-16.3;9440;34920;3.7
9406;4354;8768;19320;44;19.9;;21.2;19.8;18.6;16.9;20.1;12.7;29.5;67.5;55.9;2.8;8.8;32.6;9;6.1;1.5;3.1;1.5;-15.2;9790;34280;3.5
9407;6030;13564;18450;40.8;22.5;;22.5;24.8;23.4;20.9;20.3;13.7;33.2;64.6;52;3.3;9.3;33.7;9.4;7;2.1;3.2;1.7;-14.7;9480;33480;3.5
