CODGEO;NBMENFISC17;NBPERSMENFISC17;MED17;PIMP17;TP6017;TP60AGE117;TP60AGE217;TP60AGE317;TP60AGE417;TP60AGE517;TP60AGE617;TP60TOL117;TP60TOL217;PACT17;PTSA17;PCHO17;PBEN17;PPEN17;PPAT17;PPSOC17;PPFAM17;PPMINI17;PPLOGT17;PIMPOT17;D117;D917;RD17
200071454;45486;108337;20740;51.8;15.3;24.6;20.2;18.1;14;8.5;5.6;5;31.2;72.3;64.9;3.4;4;28.9;7;7.1;2.8;2.6;1.7;-15.3;10990;34650;3.2
200071470;11114;24098;18800;37.9;15.6;22.6;18;19.8;16.4;9.8;12.9;10.4;29.6;58.6;48.9;2.7;7;37.2;10.8;6.1;2.2;2.6;1.3;-12.7;11010;30000;2.7
200071496;6055;13025;19150;40.8;17.9;;21.2;23.8;19.4;12.8;;12.2;33.8;58.7;47.6;2.8;8.3;37.8;10;6.5;2.2;2.8;1.5;-13;10310;31030;3
200071504;5359;11915;20090;46.3;12.6;;15.5;17.8;12.2;7.5;;7.7;25.6;64.8;55.3;3.1;6.4;35.2;9.1;4.8;2.1;1.6;1.1;-13.9;11920;32280;2.7
200071512;11959;25498;19610;42.6;14.4;22.2;17.3;15.8;16;10.5;10.5;9.2;29.7;60.9;51.6;2.8;6.5;37.6;9.5;5.9;2;2.6;1.3;-13.9;11330;31730;2.8
200071520;7116;15612;19260;39.4;13.9;;14.5;17;14.1;10.1;11.6;8.8;27.8;62.8;53.8;2.5;6.5;34.6;9.7;5.6;2.4;1.9;1.3;-12.7;11440;29910;2.6
200071538;9451;22222;20670;48.5;10.3;;9.9;11.5;11.2;7.7;11.2;7.9;22.1;69.8;61.8;2.9;5.1;32.5;7.1;4.4;2.3;1.3;0.8;-13.8;12570;31900;2.5
200071546;9973;24608;20020;41.8;10.3;13.1;9.5;11.7;10.2;7.4;12.4;6.9;24;74;65.7;3.3;5;25.1;8.4;5.7;3.1;1.5;1.1;-13.2;12550;30820;2.5
200071553;22275;56489;21560;48.4;6.9;10.1;6;7.1;8;5;8.7;5;17.2;74.9;65.1;2.9;6.9;27;8.6;4.2;2.6;0.9;0.7;-14.7;13810;35000;2.5
200071579;12752;27536;19800;44.8;13;20.2;16.8;13.1;12.9;8.4;12.8;9;24.3;62.5;54.3;2.9;5.3;37.7;7.9;5.3;2.2;1.9;1.2;-13.4;11760;31170;2.7
200071587;23313;50683;19790;42.8;13.1;21.1;15.4;15.3;14.1;8.5;10.1;8.2;27.5;62.3;53.5;3;5.8;36.5;9.6;5.2;2;2;1.2;-13.6;11760;31980;2.7
200071595;9535;20242;20590;46.8;11.1;20.8;10.9;12.4;12.3;7.6;10.3;7.3;22.6;64.7;55.9;2.5;6.3;35.6;9.8;4.5;1.9;1.6;1;-14.6;12250;34020;2.8
200071629;20905;47246;20230;46.2;10.1;13.3;10.4;12.8;10.7;6.1;9.8;6.9;19.7;63.4;54.3;3.2;5.9;36;10.7;4.6;2.2;1.4;1;-14.7;12630;32330;2.6
200071645;3365;7760;20480;48.6;12.3;;;16;13.2;;;9.4;23.2;66.9;56.3;2.7;7.9;33.3;9.6;4.3;2.3;1.2;0.8;-14.1;11910;33420;2.8
200071652;2058;4736;19630;44;13.5;;;;;;;10.2;26.9;66.2;56.2;2.5;7.5;32.7;9.2;4.7;2.4;1.4;0.9;-12.8;11580;30610;2.6
200071678;43918;103048;20420;46;10.5;15.3;12.8;12.9;10.7;5.8;6;5;25.9;71.5;63.2;3;5.3;29.4;8.4;5.4;2.6;1.6;1.2;-14.7;12510;33100;2.6
200071751;55870;127866;21460;53.2;11.3;17.3;13.8;13.3;11.1;7.2;6.7;5;24.4;70.5;63.1;2.7;4.7;30.8;9.2;5.1;2.3;1.6;1.2;-15.6;12220;35640;2.9
200071769;6931;16869;19630;45.8;15.3;24.4;18.2;18.2;16;9.3;;9.2;33.3;68.5;60.6;3.4;4.5;31.8;6.8;6.3;3;2;1.3;-13.4;11260;31610;2.8
200071777;4659;10903;20280;48.3;12.4;;15;14.4;12.8;;;7.6;24.2;68.6;54.9;2.8;10.9;29;12.3;5.4;2.5;1.7;1.2;-15.3;11960;34460;2.9
200071785;23407;54005;18530;42.1;20.5;33.1;25.8;24.9;19.7;11.6;10;9.3;39.1;65.3;57.9;3.6;3.8;32.8;6.2;8.8;3.1;3.5;2.2;-13.1;10140;30620;3
200071819;7298;14570;18700;36.7;17.7;;16.7;21;19.5;14.3;18.3;14.1;29.5;52.8;44;2.8;6;45.7;9.4;4.7;1.5;2.1;1.1;-12.6;10400;30560;2.9
200071827;63647;137325;20560;48.8;14.8;27.7;19.7;17.4;13.7;8.6;7.6;5.4;31.4;67.8;59.8;3.3;4.7;32.8;7.9;6.8;2.1;2.8;1.9;-15.3;11140;34450;3.1
200071843;12968;31605;20680;50.1;11.6;17;14.8;13.1;11.2;7;;6.4;22.8;73.1;65.4;3.6;4.1;28.7;6.7;5.8;2.7;1.9;1.2;-14.3;12110;32600;2.7
200071850;10670;25669;20910;51.1;10.6;16.8;11.4;13;10.7;6.8;;6.6;24.1;70.9;63.2;3.3;4.4;30.4;8.2;4.8;2.5;1.3;1;-14.3;12460;33110;2.7
200071868;13683;35918;20030;40.5;9.5;10.9;9.2;11.2;10.2;6.1;8.2;6;19.9;75.9;67.8;3.1;5;23.7;7.2;6;3.6;1.3;1.1;-12.8;12800;30690;2.4
200071876;42518;97072;19450;41.4;13.7;21.8;16.1;15.5;14.2;9.3;8.9;7.6;26.9;64.4;54.9;3.3;6.2;34.2;9;6.2;2.6;2.1;1.5;-13.8;11590;32120;2.8
200071884;18117;38706;19520;43.4;13.1;21.3;14.6;15.5;14.6;9;10.2;7.5;26.4;61.5;52;2.6;6.9;37.5;9.8;5.4;2.1;2;1.3;-14.2;11730;32110;2.7
200071892;35334;78368;18320;42.9;22.3;35.3;28.7;28;21.6;12.6;8.5;8;38.7;65.1;56.1;3.4;5.6;32.4;7.4;9.7;3;4.1;2.6;-14.6;9780;32670;3.3
200071900;16015;34799;20910;50.7;9.3;;9.6;13.9;11.7;5;7.3;6.6;19.5;53.7;45;3.2;5.5;46.7;10.8;3.8;1.8;1.2;0.8;-15;12870;33740;2.6
200071918;10759;27431;20730;45.8;6.9;;5;7.6;7.4;6;;5;16.2;80;73.1;2.5;4.4;20.5;7.9;4.8;3;1;0.8;-13.2;13750;30240;2.2
200071926;12122;25875;18470;38;20.1;33;23.3;23.5;24.6;13.8;14.3;12.2;36.3;56.3;45.3;3.4;7.6;39.5;10.5;7.3;2;3.4;1.9;-13.6;9930;31910;3.2
200071934;15345;34385;19600;42.1;13.8;19.6;18;16.6;14.1;8.7;9.4;7.9;30.4;63;53.9;3.1;6;36.2;8.7;5.8;2.3;2.1;1.4;-13.7;11550;31820;2.8
200071942;10819;21478;18210;36;19.9;28.4;24.2;22.8;21.3;15.5;18;15.5;35.1;51.6;41.4;2.5;7.7;45.8;9.2;5.7;1.7;2.8;1.2;-12.3;9930;29880;3
200071967;17212;39888;26990;66.8;7.3;9.4;6.7;7.8;6.8;7.2;6.9;5;13.7;88;79.8;3.5;4.7;20;9.5;2.1;1;0.6;0.5;-19.6;14110;51010;3.6
200071983;7000;16156;17510;38.1;23.8;40.3;30.4;29.3;23.7;13.8;;12.8;45.7;61.4;52.3;3.6;5.5;32.6;9.4;9.4;3.2;3.9;2.3;-12.8;9420;29100;3.1
200071991;11803;28893;20510;49.8;11.5;17.5;12.1;12.4;12.1;8.2;8.5;6.1;22.6;74.8;67.2;3.3;4.3;26.8;7.9;5.3;2.6;1.6;1.1;-14.8;12210;34360;2.8
200072007;2054;4123;17440;33.4;21.1;;;;22.8;;;19;29.9;53.8;40.3;3;10.5;41.4;11.1;5.3;1.8;2.4;1.1;-11.6;10030;29500;2.9
200072015;21176;49122;20770;48.5;11.9;21.2;15.4;14.3;11.5;6.4;6.3;5.3;27;67.9;59.8;3.3;4.8;31.5;9.8;5.4;2.4;1.7;1.3;-14.6;12010;33310;2.8
200072023;9595;21257;19320;40.6;15.6;21.3;16.9;17.5;15.8;11.4;15.5;11.3;32;62.5;53.4;3.1;6;35.9;8.8;5.7;2.2;2.3;1.2;-12.9;11030;31150;2.8
200072031;22399;53694;20070;50;15.1;23;18.6;17.2;16;9.6;6.4;7.4;31.2;71.4;61.2;3.3;6.9;28.7;9.4;6.1;2.7;2;1.4;-15.6;11070;33550;3
200072049;15884;33233;18420;36.2;19;24.2;19.6;22.2;19.8;14.4;19.7;15.3;32;57.6;48.1;2.6;6.9;40.2;8.3;6;2;2.7;1.3;-12.1;10260;29710;2.9
200072056;4608;10089;20390;46.6;12.1;;16.2;14.4;11.3;;;8.1;25.1;65.5;58.4;2.8;4.3;36;7;4.9;2.3;1.6;1;-13.4;12040;31310;2.6
200072064;21148;46381;20160;45.8;12.4;19.4;16;14.3;13;8.3;8.3;7.8;28;61.7;53.4;2.9;5.4;38.2;9.1;4.8;2;1.8;1;-13.8;11900;32400;2.7
200072072;24097;52740;20700;49.2;11.7;18.1;16;15;12.4;6.3;6.2;5.7;26.3;65.5;57.5;2.9;5.1;34.9;9.8;4.9;2;1.8;1.1;-15.1;12130;34070;2.8
200072080;7136;14266;18550;37.6;18.1;;20.1;22.4;20.4;14.2;14.1;13.6;33.1;55.6;45.5;2.9;7.2;41.4;9.1;5.7;1.8;2.6;1.3;-11.8;10590;29980;2.8
200072098;8366;19285;21440;49.5;8.8;;7.6;8.1;10.3;7.8;11.9;6.5;19.3;73.2;65.6;3.1;4.5;29.1;7.7;4;2.1;1.2;0.7;-14;13060;33340;2.6
200072106;10162;22852;19480;41.3;14.7;;15.7;17.4;15.5;10.1;14.2;11;28.2;61.3;51.1;3.3;6.9;38.1;8.3;5.6;2;2.4;1.2;-13.3;11320;31760;2.8
