COD_VAR;LIB_VAR;LIB_VAR_LONG;COD_MOD;LIB_MOD;TYPE_VAR;LONG_VAR
CODGEO;Code géographique;Code géographique;01053;Bourg-en-Bresse;CHAR;5
CODGEO;Code géographique;Code géographique;01054;Bourg-Saint-Christophe;CHAR;5
CODGEO;Code géographique;Code géographique;01056;Boyeux-Saint-Jérôme;CHAR;5
CODGEO;Code géographique;Code géographique;01057;Boz;CHAR;5
CODGEO;Code géographique;Code géographique;01058;Brégnier-Cordon;CHAR;5
CODGEO;Code géographique;Code géographique;01060;Brénod;CHAR;5
CODGEO;Code géographique;Code géographique;01061;Brens;CHAR;5
CODGEO;Code géographique;Code géographique;01062;Bressolles;CHAR;5
CODGEO;Code géographique;Code géographique;01063;Brion;CHAR;5
CODGEO;Code géographique;Code géographique;01064;Briord;CHAR;5
CODGEO;Code géographique;Code géographique;01065;Buellas;CHAR;5
CODGEO;Code géographique;Code géographique;01066;La Burbanche;CHAR;5
CODGEO;Code géographique;Code géographique;01067;Ceignes;CHAR;5
CODGEO;Code géographique;Code géographique;01068;Cerdon;CHAR;5
CODGEO;Code géographique;Code géographique;01069;Certines;CHAR;5
CODGEO;Code géographique;Code géographique;01071;Cessy;CHAR;5
CODGEO;Code géographique;Code géographique;01072;Ceyzériat;CHAR;5
CODGEO;Code géographique;Code géographique;01073;Ceyzérieu;CHAR;5
CODGEO;Code géographique;Code géographique;01074;Chalamont;CHAR;5
CODGEO;Code géographique;Code géographique;01075;Chaleins;CHAR;5
CODGEO;Code géographique;Code géographique;01076;Chaley;CHAR;5
CODGEO;Code géographique;Code géographique;01077;Challes-la-Montagne;CHAR;5
CODGEO;Code géographique;Code géographique;01078;Challex;CHAR;5
CODGEO;Code géographique;Code géographique;01079;Champagne-en-Valromey;CHAR;5
CODGEO;Code géographique;Code géographique;01080;Champdor-Corcelles;CHAR;5
CODGEO;Code géographique;Code géographique;01081;Champfromier;CHAR;5
CODGEO;Code géographique;Code géographique;01082;Chanay;CHAR;5
CODGEO;Code géographique;Code géographique;01083;Chaneins;CHAR;5
CODGEO;Code géographique;Code géographique;01084;Chanoz-Châtenay;CHAR;5
CODGEO;Code géographique;Code géographique;01085;La Chapelle-du-Châtelard;CHAR;5
CODGEO;Code géographique;Code géographique;01087;Charix;CHAR;5
CODGEO;Code géographique;Code géographique;01088;Charnoz-sur-Ain;CHAR;5
CODGEO;Code géographique;Code géographique;01089;Château-Gaillard;CHAR;5
CODGEO;Code géographique;Code géographique;01090;Châtenay;CHAR;5
CODGEO;Code géographique;Code géographique;01092;Châtillon-la-Palud;CHAR;5
CODGEO;Code géographique;Code géographique;01093;Châtillon-sur-Chalaronne;CHAR;5
CODGEO;Code géographique;Code géographique;01094;Chavannes-sur-Reyssouze;CHAR;5
CODGEO;Code géographique;Code géographique;01095;Nivigne et Suran;CHAR;5
CODGEO;Code géographique;Code géographique;01096;Chaveyriat;CHAR;5
CODGEO;Code géographique;Code géographique;01098;Chazey-Bons;CHAR;5
CODGEO;Code géographique;Code géographique;01099;Chazey-sur-Ain;CHAR;5
CODGEO;Code géographique;Code géographique;01100;Cheignieu-la-Balme;CHAR;5
CODGEO;Code géographique;Code géographique;01101;Chevillard;CHAR;5
CODGEO;Code géographique;Code géographique;01102;Chevroux;CHAR;5
CODGEO;Code géographique;Code géographique;01103;Chevry;CHAR;5
CODGEO;Code géographique;Code géographique;01104;Chézery-Forens;CHAR;5
CODGEO;Code géographique;Code géographique;01105;Civrieux;CHAR;5
CODGEO;Code géographique;Code géographique;01106;Cize;CHAR;5
CODGEO;Code géographique;Code géographique;01107;Cleyzieu;CHAR;5
CODGEO;Code géographique;Code géographique;01108;Coligny;CHAR;5
CODGEO;Code géographique;Code géographique;01109;Collonges;CHAR;5
CODGEO;Code géographique;Code géographique;01110;Colomieu;CHAR;5
CODGEO;Code géographique;Code géographique;01111;Conand;CHAR;5
CODGEO;Code géographique;Code géographique;01112;Condamine;CHAR;5
CODGEO;Code géographique;Code géographique;01113;Condeissiat;CHAR;5
CODGEO;Code géographique;Code géographique;01114;Confort;CHAR;5
CODGEO;Code géographique;Code géographique;01115;Confrançon;CHAR;5
CODGEO;Code géographique;Code géographique;01116;Contrevoz;CHAR;5
CODGEO;Code géographique;Code géographique;01117;Conzieu;CHAR;5
CODGEO;Code géographique;Code géographique;01118;Corbonod;CHAR;5
CODGEO;Code géographique;Code géographique;01121;Corlier;CHAR;5
CODGEO;Code géographique;Code géographique;01123;Cormoranche-sur-Saône;CHAR;5
CODGEO;Code géographique;Code géographique;01124;Cormoz;CHAR;5
CODGEO;Code géographique;Code géographique;01125;Corveissiat;CHAR;5
CODGEO;Code géographique;Code géographique;01127;Courmangoux;CHAR;5
CODGEO;Code géographique;Code géographique;01128;Courtes;CHAR;5
CODGEO;Code géographique;Code géographique;01129;Crans;CHAR;5
CODGEO;Code géographique;Code géographique;01130;Bresse Vallons;CHAR;5
CODGEO;Code géographique;Code géographique;01133;Cressin-Rochefort;CHAR;5
CODGEO;Code géographique;Code géographique;01134;Crottet;CHAR;5
CODGEO;Code géographique;Code géographique;01135;Crozet;CHAR;5
CODGEO;Code géographique;Code géographique;01136;Cruzilles-lès-Mépillat;CHAR;5
CODGEO;Code géographique;Code géographique;01138;Culoz;CHAR;5
CODGEO;Code géographique;Code géographique;01139;Curciat-Dongalon;CHAR;5
CODGEO;Code géographique;Code géographique;01140;Curtafond;CHAR;5
CODGEO;Code géographique;Code géographique;01141;Cuzieu;CHAR;5
CODGEO;Code géographique;Code géographique;01142;Dagneux;CHAR;5
CODGEO;Code géographique;Code géographique;01143;Divonne-les-Bains;CHAR;5
CODGEO;Code géographique;Code géographique;01145;Dompierre-sur-Veyle;CHAR;5
CODGEO;Code géographique;Code géographique;01146;Dompierre-sur-Chalaronne;CHAR;5
CODGEO;Code géographique;Code géographique;01147;Domsure;CHAR;5
CODGEO;Code géographique;Code géographique;01148;Dortan;CHAR;5
CODGEO;Code géographique;Code géographique;01149;Douvres;CHAR;5
CODGEO;Code géographique;Code géographique;01150;Drom;CHAR;5
CODGEO;Code géographique;Code géographique;01151;Druillat;CHAR;5
CODGEO;Code géographique;Code géographique;01152;Échallon;CHAR;5
CODGEO;Code géographique;Code géographique;01153;Échenevex;CHAR;5
CODGEO;Code géographique;Code géographique;01155;Évosges;CHAR;5
CODGEO;Code géographique;Code géographique;01156;Faramans;CHAR;5
CODGEO;Code géographique;Code géographique;01157;Fareins;CHAR;5
CODGEO;Code géographique;Code géographique;01158;Farges;CHAR;5
CODGEO;Code géographique;Code géographique;01159;Feillens;CHAR;5
CODGEO;Code géographique;Code géographique;01160;Ferney-Voltaire;CHAR;5
CODGEO;Code géographique;Code géographique;01162;Flaxieu;CHAR;5
CODGEO;Code géographique;Code géographique;01163;Foissiat;CHAR;5
CODGEO;Code géographique;Code géographique;01165;Francheleins;CHAR;5
CODGEO;Code géographique;Code géographique;01166;Frans;CHAR;5
