COD_VAR;LIB_VAR;LIB_VAR_LONG;COD_MOD;LIB_MOD;TYPE_VAR;LONG_VAR
CODGEO;Code géographique;Code géographique;051;Saint-Brieuc;CHAR;3
CODGEO;Code géographique;Code géographique;052;Montbéliard;CHAR;3
CODGEO;Code géographique;Code géographique;053;Béziers;CHAR;3
CODGEO;Code géographique;Code géographique;054;Niort;CHAR;3
CODGEO;Code géographique;Code géographique;055;Vannes;CHAR;3
CODGEO;Code géographique;Code géographique;056;Chartres;CHAR;3
CODGEO;Code géographique;Code géographique;057;Bourges;CHAR;3
CODGEO;Code géographique;Code géographique;058;Boulogne-sur-Mer;CHAR;3
CODGEO;Code géographique;Code géographique;059;Thionville;CHAR;3
CODGEO;Code géographique;Code géographique;060;Chalon-sur-Saône;CHAR;3
CODGEO;Code géographique;Code géographique;061;Maubeuge (partie française);CHAR;3
CODGEO;Code géographique;Code géographique;062;Arras;CHAR;3
CODGEO;Code géographique;Code géographique;063;Calais;CHAR;3
CODGEO;Code géographique;Code géographique;064;Colmar;CHAR;3
CODGEO;Code géographique;Code géographique;065;Blois;CHAR;3
CODGEO;Code géographique;Code géographique;066;Quimper;CHAR;3
CODGEO;Code géographique;Code géographique;067;Beauvais;CHAR;3
CODGEO;Code géographique;Code géographique;068;Cherbourg-en-Cotentin;CHAR;3
CODGEO;Code géographique;Code géographique;069;Laval;CHAR;3
CODGEO;Code géographique;Code géographique;070;Creil;CHAR;3
CODGEO;Code géographique;Code géographique;071;Bourg-en-Bresse;CHAR;3
CODGEO;Code géographique;Code géographique;072;Tarbes;CHAR;3
CODGEO;Code géographique;Code géographique;073;Belfort;CHAR;3
CODGEO;Code géographique;Code géographique;074;Saint-Quentin;CHAR;3
CODGEO;Code géographique;Code géographique;075;La Roche-sur-Yon;CHAR;3
CODGEO;Code géographique;Code géographique;076;Vienne;CHAR;3
CODGEO;Code géographique;Code géographique;077;Évreux;CHAR;3
CODGEO;Code géographique;Code géographique;078;Alès;CHAR;3
CODGEO;Code géographique;Code géographique;079;Agen;CHAR;3
CODGEO;Code géographique;Code géographique;080;Charleville-Mézières;CHAR;3
CODGEO;Code géographique;Code géographique;081;Roanne;CHAR;3
CODGEO;Code géographique;Code géographique;082;Sarrebruck (ALL) - Forbach (partie française);CHAR;3
CODGEO;Code géographique;Code géographique;083;Nevers;CHAR;3
CODGEO;Code géographique;Code géographique;084;Cholet;CHAR;3
CODGEO;Code géographique;Code géographique;085;Brive-la-Gaillarde;CHAR;3
CODGEO;Code géographique;Code géographique;086;Montauban;CHAR;3
CODGEO;Code géographique;Code géographique;087;Périgueux;CHAR;3
CODGEO;Code géographique;Code géographique;088;Mâcon;CHAR;3
CODGEO;Code géographique;Code géographique;089;Compiègne;CHAR;3
CODGEO;Code géographique;Code géographique;090;Ajaccio;CHAR;3
CODGEO;Code géographique;Code géographique;091;Albi;CHAR;3
CODGEO;Code géographique;Code géographique;092;Carcassonne;CHAR;3
CODGEO;Code géographique;Code géographique;093;Châteauroux;CHAR;3
CODGEO;Code géographique;Code géographique;094;Fréjus;CHAR;3
CODGEO;Code géographique;Code géographique;095;Épinal;CHAR;3
CODGEO;Code géographique;Code géographique;096;Auxerre;CHAR;3
CODGEO;Code géographique;Code géographique;097;Bastia;CHAR;3
