CODGEO;NBMENFISC17;NBPERSMENFISC17;MED17;PIMP17;TP6017;TP60AGE117;TP60AGE217;TP60AGE317;TP60AGE417;TP60AGE517;TP60AGE617;TP60TOL117;TP60TOL217;PACT17;PTSA17;PCHO17;PBEN17;PPEN17;PPAT17;PPSOC17;PPFAM17;PPMINI17;PPLOGT17;PIMPOT17;D117;D917;RD17
500;2862;5541;19930;46.5;15.9;;;;;;;9.2;29.5;53.9;46.9;2.7;4.3;46.3;7.6;6.6;1.8;3.1;1.7;-14.4;11210;32070;2.9
501;3189;6433;18800;39.7;16.2;;;18;;;;8.9;28;56.9;48.6;3;5.3;39.4;9.6;7.2;1.9;3.3;2;-13.1;11110;31680;2.9
502;2923;6296;16920;34.4;25.3;;36.2;32.7;24.1;16.8;;12.4;42.1;56;45.1;4.4;6.5;37.5;9.4;9.5;2.9;4;2.6;-12.4;9540;30470;3.2
503;2823;5678;20220;48.4;12.2;;;;;;;5.9;25.9;58.9;51.7;2.5;4.7;41.8;8;4.9;1.8;1.9;1.2;-13.6;12030;30490;2.5
504;2746;5834;19640;44.9;16.4;;25;17;;;;8.7;29.3;63.4;55.8;2.6;5;35.9;8.3;6.6;2.3;2.6;1.7;-14.2;10930;31220;2.9
505;3416;6939;21240;53.4;12.6;;;17.8;;;;8.3;22.6;54.9;41.4;3.1;10.4;44.4;13.8;3.4;1.2;1.4;0.8;-16.5;11780;37360;3.2
506;2305;5101;20030;46.6;13.6;;;17.4;;;;7.2;26.7;63.6;54.7;2.9;6;35.4;8.3;6.2;2.4;2.3;1.5;-13.5;11750;31250;2.7
507;2999;5970;22380;57.1;10.8;;;;;;;;24.4;65.7;57;2.8;5.9;37.7;10.3;3.8;1.2;1.6;1;-17.5;12320;38080;3.1
508;3082;6159;19120;40.3;16.3;;;20.3;;;;8.2;30.6;53.3;45.6;3.4;4.3;45;9.2;5.5;1.6;2.4;1.5;-13;11100;31480;2.8
509;2958;6333;18100;38.9;23.5;;27;27.8;24.1;17;;14.3;36.7;63;50.5;3.8;8.7;35.1;8.8;7.5;1.9;3.6;2;-14.4;9790;31950;3.3
510;3140;6502;19260;42.2;16.2;;22.8;19.8;18.9;;;7.1;30.9;54;46.5;3.5;4;43.8;8.4;7.3;2.3;3.1;1.9;-13.5;10970;32140;2.9
511;3082;6193;20010;44;15.6;;;19.2;;;;7.9;29;56.6;46.3;2.8;7.5;40.6;10.6;6.9;1.7;3.4;1.8;-14.7;11120;35530;3.2
512;2388;5563;17880;36;22.5;;31.2;25.6;20.9;;;11.3;43.1;63.2;56.5;3.3;3.4;33.1;5.5;10.1;3.5;4.2;2.4;-11.9;9950;28290;2.8
513;2726;6034;17690;38.7;20.8;;28.9;26.9;21.1;;;7;36.7;64.4;56;3.7;4.7;33.8;7.3;9.5;2.9;4;2.6;-15;10380;29030;2.8
514;2552;5620;19940;47.5;15.6;;;21.9;;;;6.1;32.1;61;52.1;3.5;5.4;39.1;8.1;6.3;2.4;2.2;1.7;-14.5;10580;33820;3.2
515;2981;7478;19620;40;11.6;;;11.6;;;;6.8;29.4;72.9;64.2;3;5.7;25.3;7.8;6.6;3.5;1.8;1.3;-12.6;12390;29620;2.4
